rank,epoch,step,loss
0,1,2,5.7393694
0,1,3,5.776369
0,1,4,5.848586
0,1,5,6.0027924
0,1,6,5.9504576
0,1,7,5.979382
0,1,8,5.946976
0,1,9,5.8133616
0,1,10,6.0153103
1,1,1,5.8323994
1,1,2,5.942925
1,1,3,5.934766
1,1,4,6.0393553
1,1,5,5.8295755
1,1,6,5.9784408
1,1,7,5.923909
1,1,8,5.778104
1,1,9,5.9822206
1,1,10,5.9641266
1,1,1,5.926324
1,1,2,5.956418
1,1,3,6.024169
1,1,4,5.834534
1,1,5,5.79723
1,1,6,5.9857903
1,1,7,5.8205404
1,1,8,5.773987
1,1,9,5.883138
1,1,10,5.7874136
0,1,1,5.9773884
0,1,2,6.086547
0,1,3,5.950015
0,1,4,5.810178
0,1,5,5.8453593
0,1,6,5.938442
0,1,7,5.870139
0,1,8,5.9194555
0,1,9,5.9046535
0,1,10,5.831665
0,1,1,5.937933
0,1,2,5.825405
0,1,3,5.985784
0,1,4,5.9085774
0,1,5,5.870441
0,1,6,5.9944587
0,1,7,5.7360954
0,1,8,5.8549137
0,1,9,5.789808
0,1,10,5.8473797
1,1,1,5.8409624
1,1,2,5.743409
1,1,3,6.0259953
1,1,4,5.823741
1,1,5,5.9834437
1,1,6,5.8501806
1,1,7,5.9405084
1,1,8,5.8879786
1,1,9,5.79817
1,1,10,5.7835855
2,1,1,5.863744
2,1,2,6.0198236
2,1,3,5.7808204
2,1,4,5.880208
2,1,5,5.7118654
2,1,6,5.9391212
2,1,7,5.8792696
2,1,8,6.0971947
2,1,9,5.77717
2,1,10,5.94695
